"building" "area" "month" "elec_Wh_per_m2" "heat_Wh_per_m2" "cluster"
1 7954 1 11.6 24.3 2
1 7954 2 10.8 22.9 2
1 7954 3 10.5 24.4 2
1 7954 4 9.2 14.8 2
1 7954 5 9.6 4.8 2
1 7954 6 9.7 1.6 2
1 7954 7 9.2 1.4 2
1 7954 8 9.6 1.7 2
1 7954 9 10 5.7 2
1 7954 10 10.8 11.6 2
1 7954 11 10.6 14 2
2 12240 1 42.2 77.5 1
2 12240 2 43 65.4 1
2 12240 3 42.3 73.2 1
2 12240 4 40.7 48.5 1
2 12240 5 40.7 17.1 1
2 12240 6 42.5 5.7 1
2 12240 7 40.7 4.4 1
2 12240 8 42.8 6.6 1
2 12240 9 42.2 20.5 1
2 12240 10 42.9 37.9 1
2 12240 11 43.5 46.9 1
3 5868 1 14.9 48.7 3
3 5868 2 0.1 36.2 2
4 15467 1 7.6 16.4 2
4 15467 2 5.4 14.3 2
4 15467 3 5.7 15 2
4 15467 4 5.6 9 2
4 15467 5 5.5 3 2
4 15467 6 5.4 0.9 2
4 15467 7 3.6 0.7 2
4 15467 8 6.1 0.8 2
4 15467 9 6 3.1 2
4 15467 10 5.8 6.9 2
4 15467 11 5.4 9.1 2
5 3358 1 4.2 14.9 2
5 3358 2 4.3 12 2
5 3358 3 4.3 15 2
5 3358 4 4.3 8.9 2
5 3358 5 4.6 2.8 2
5 3358 6 5 0.9 2
5 3358 7 5.1 1 2
5 3358 8 5.2 1.9 2
5 3358 9 4.8 4.4 2
5 3358 10 4.6 7.9 2
5 3358 11 4.4 9.9 2
6 3268 1 14.8 37.3 3
6 3268 2 16.2 31.5 3
6 3268 3 14.9 34.3 3
6 3268 4 14.4 21.8 3
6 3268 5 15.4 8.8 3
6 3268 6 15.4 2.2 2
6 3268 7 13.1 2 2
6 3268 8 15.7 3.6 3
6 3268 9 13.8 5.5 2
6 3268 10 13 14.7 2
6 3268 11 14.1 19 3
7 6967 1 11.2 30.5 3
7 6967 2 11.3 25.2 2
7 6967 3 10.5 28.5 2
7 6967 4 10.4 18.4 2
7 6967 5 10.5 9.4 2
7 6967 6 11.3 4.2 2
7 6967 7 9.7 3.1 2
7 6967 8 11.5 4 2
7 6967 9 10.8 7.3 2
7 6967 10 10.8 14.3 2
7 6967 11 10.4 18.1 2
8 1019 1 14.3 32.1 3
8 1019 2 15.3 26.4 3
8 1019 3 13.4 28.3 3
8 1019 4 13 18.4 2
8 1019 5 12.6 6.3 2
8 1019 6 12.7 2.1 2
8 1019 7 13.1 1.8 2
8 1019 8 14.5 2 2
8 1019 9 13.9 6.6 2
8 1019 10 15.1 14.6 3
8 1019 11 15.6 18.6 3
9 7272 1 34.7 52.9 1
9 7272 2 35.7 44.7 1
9 7272 3 34.9 50.5 1
9 7272 4 36 29.8 1
9 7272 5 37.3 8 1
9 7272 6 39.6 2.5 1
9 7272 7 39.8 1.9 1
9 7272 8 41.3 2.7 1
9 7272 9 40.6 8.9 1
9 7272 10 38.7 19.7 1
9 7272 11 36.5 26.5 1
10 3640 1 15.5 29 3
10 3640 2 16.7 26.8 3
10 3640 3 15.4 25.5 3
10 3640 4 14 15.4 3
10 3640 5 14.9 4.2 2
10 3640 6 17.3 1.9 3
